"pollutant","run","level","participant_id","replicate","mean_value","sd_value","x_pt","sigma_pt","u_xpt","u_x","U_x","U_xpt","z_score","z_prime_score","zeta_score","En_score","z_score_eval","z_prime_score_eval","zeta_score_eval","En_score_eval","n_lab"
"co","corrida_2","2-μmol/mol","part_3",4,2.01303011,0.00367076801,2.01319093766667,0.00130690709700036,0.000544544623750152,0.00367076801,0.00734153602,0.0010890892475003,-0.123059754619171,-0.113593619648466,-0.0433388089085246,-0.0216694044542623,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_3",4,2.013595035,0.00518917729,2.01319093766667,0.00130690709700036,0.000544544623750152,0.00518917729,0.01037835458,0.0010890892475003,0.309201269363761,0.285416556335779,0.077447838276771,0.0387239191383855,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_3",4,2.012474554,0.00372789548,2.01319093766667,0.00130690709700036,0.000544544623750152,0.00372789548,0.00745579096,0.0010890892475003,-0.548151944626251,-0.505986410424232,-0.190150447265154,-0.095075223632577,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_1",2,4.028347143,0.01208401702,4.02286790033333,0.00330792492900052,0.00137830205375022,0.01208401702,0.02416803404,0.00275660410750043,1.65639873463603,1.52898344735633,0.450507901028559,0.22525395051428,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_1",2,4.021748247,0.01441051063,4.02286790033333,0.00330792492900052,0.00137830205375022,0.01441051063,0.02882102126,0.00275660410750043,-0.33847604083071,-0.312439422305271,-0.0773440229553095,-0.0386720114776547,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_1",2,4.023195779,0.01291996664,4.02286790033333,0.00330792492900052,0.00137830205375022,0.01291996664,0.02583993328,0.00275660410750043,0.0991191377387198,0.0914945886818952,0.0252344854610401,0.01261724273052,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_2",3,4.025554913,0.0119741281,4.02286790033333,0.00330792492900052,0.00137830205375022,0.0119741281,0.0239482562,0.00275660410750043,0.812295540055857,0.749811267743868,0.222929532254167,0.111464766127083,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_2",3,4.02804855,0.01297000799,4.02286790033333,0.00330792492900052,0.00137830205375022,0.01297000799,0.02594001598,0.00275660410750043,1.56613278047777,1.44566102813333,0.397196567030941,0.19859828351547,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_2",3,4.027986407,0.01034050013,4.02286790033333,0.00330792492900052,0.00137830205375022,0.01034050013,0.02068100026,0.00275660410750043,1.54734668304996,1.42832001512304,0.490656571031788,0.245328285515894,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_3","4-μmol/mol","part_3",4,4.025817987,0.01202770627,4.02286790033333,0.00330792492900052,0.00137830205375022,0.01202770627,0.02405541254,0.00275660410750043,0.891823947032051,0.823222104952662,0.243679499823774,0.121839749911887,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
