pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
o3,corrida_4,40-nmol/mol,ref,1,1-10,40.41514996,0.3010115425
o3,corrida_4,40-nmol/mol,ref,1,11-20,40.65140083,0.303787829
o3,corrida_4,40-nmol/mol,ref,1,21-30,40.61057986,0.334653673
o3,corrida_5,80-nmol/mol,part_1,2,1-10,80.00558399,0.5866046573
o3,corrida_5,80-nmol/mol,part_1,2,11-20,79.99473044,0.5892280119
o3,corrida_5,80-nmol/mol,part_1,2,21-30,80.18835654,0.5802210989
o3,corrida_5,80-nmol/mol,part_2,3,1-10,80.19802471,0.5847905313
o3,corrida_5,80-nmol/mol,part_2,3,11-20,80.09170218,0.6147983446
o3,corrida_5,80-nmol/mol,part_2,3,21-30,80.32563662,0.5434093487
o3,corrida_5,80-nmol/mol,part_3,4,1-10,79.75691729,0.4742070766
o3,corrida_5,80-nmol/mol,part_3,4,11-20,80.33274862,0.5564791597
o3,corrida_5,80-nmol/mol,part_3,4,21-30,80.42394944,0.4813067198
o3,corrida_5,80-nmol/mol,ref,1,1-10,80.07616674,0.5867558445
o3,corrida_5,80-nmol/mol,ref,1,11-20,80.10091823,0.5958555242
o3,corrida_5,80-nmol/mol,ref,1,21-30,80.10180714,0.5892459418
so2,corrida_1,0-nmol/mol,part_1,2,1-10,0.05245283019,0.04685260217
so2,corrida_1,0-nmol/mol,part_1,2,11-20,0.0479245283,0.05091776667
so2,corrida_1,0-nmol/mol,part_1,2,21-30,0.04113207547,0.05089134696
so2,corrida_1,0-nmol/mol,part_2,3,1-10,0.0679245283,0.03896326667
so2,corrida_1,0-nmol/mol,part_2,3,11-20,0.04452830189,0.04115726346
so2,corrida_1,0-nmol/mol,part_2,3,21-30,0.0441509434,0.0303089846
so2,corrida_1,0-nmol/mol,part_3,4,1-10,0.07490566038,0.0530994188
so2,corrida_1,0-nmol/mol,part_3,4,11-20,0.06037735849,0.0154312505
so2,corrida_1,0-nmol/mol,part_3,4,21-30,0.03433962264,0.03268988551
so2,corrida_1,0-nmol/mol,ref,1,1-10,0.05226415094,0.03070896006
so2,corrida_1,0-nmol/mol,ref,1,11-20,0.04452830189,0.0338829729
so2,corrida_1,0-nmol/mol,ref,1,21-30,0.05924528302,0.04818775825
so2,corrida_2,100-nmol/mol,part_1,2,1-10,99.6060313,0.5859931394
so2,corrida_2,100-nmol/mol,part_1,2,11-20,99.63343365,0.5944265007
so2,corrida_2,100-nmol/mol,part_1,2,21-30,99.39532504,0.5806277556
so2,corrida_2,100-nmol/mol,part_2,3,1-10,99.4550428,0.5959142576
so2,corrida_2,100-nmol/mol,part_2,3,11-20,99.63373729,0.5487952167
